epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.035,2.6232,4.13943,1.78928,0.91507,0.05785,0.04037,0.0164,2.45748,3.38337,1.52667,0.000275514,0.000275514,0.000275514
2,196.921,2.47876,3.14341,1.50126,0.80605,0.07446,0.04537,0.01769,2.48798,3.0389,1.45928,0.000542228,0.000542228,0.000542228
3,295.124,2.4311,2.82897,1.47019,0.03708,0.30878,0.08028,0.03115,2.44229,2.75155,1.45913,0.000797946,0.000797946,0.000797946
4,389.635,2.39734,2.57347,1.46635,0.25706,0.14537,0.09737,0.03655,2.40041,2.64276,1.45282,0.00078352,0.00078352,0.00078352
5,484.432,2.38017,2.42068,1.46285,0.26838,0.17559,0.11649,0.0447,2.36885,2.32436,1.47328,0.000767026,0.000767026,0.000767026
6,588.427,2.3388,2.26259,1.44765,0.27069,0.16809,0.1117,0.04149,2.33882,2.21454,1.44193,0.000750533,0.000750533,0.000750533
7,710.18,2.29413,2.18749,1.43958,0.28798,0.18091,0.12601,0.04897,2.30653,2.20176,1.44299,0.00073404,0.00073404,0.00073404
8,859.835,2.28874,2.08719,1.42167,0.27096,0.18638,0.12246,0.04703,2.32037,2.16194,1.40957,0.000717546,0.000717546,0.000717546
9,991.411,2.27411,2.08707,1.42134,0.4016,0.22772,0.12312,0.04837,2.25891,2.14935,1.38754,0.000701053,0.000701053,0.000701053
10,1156.73,2.23106,1.98308,1.40717,0.27218,0.205,0.12195,0.04723,2.27549,2.07657,1.41224,0.000684559,0.000684559,0.000684559
11,1372.81,2.22502,1.97881,1.40939,0.29017,0.19463,0.12784,0.04968,2.23983,2.03429,1.4196,0.000668066,0.000668066,0.000668066
12,1575.25,2.21232,1.92442,1.40652,0.40546,0.20145,0.13179,0.05198,2.26779,2.02847,1.39688,0.000651573,0.000651573,0.000651573
13,1794.78,2.19204,1.99658,1.38945,0.27009,0.2321,0.13576,0.05337,2.2407,2.0531,1.42584,0.000635079,0.000635079,0.000635079
14,1920.3,2.18032,1.90963,1.3994,0.29357,0.22335,0.14685,0.05685,2.25167,2.02492,1.4188,0.000618586,0.000618586,0.000618586
15,2072.21,2.17433,1.8918,1.37572,0.26023,0.23167,0.12815,0.05113,2.21506,2.05432,1.37275,0.000602092,0.000602092,0.000602092
16,2230.2,2.14554,1.88589,1.39131,0.51023,0.19539,0.13645,0.05327,2.17831,2.01662,1.34817,0.000585599,0.000585599,0.000585599
17,2354.23,2.14484,1.88694,1.38397,0.35397,0.22034,0.12849,0.04932,2.20458,2.04884,1.39442,0.000569106,0.000569106,0.000569106
18,2504,2.14064,1.84614,1.38206,0.40398,0.20947,0.12728,0.05058,2.2391,2.05563,1.38164,0.000552612,0.000552612,0.000552612
19,2652.74,2.13847,1.85667,1.36845,0.43023,0.19435,0.13542,0.05169,2.24573,2.00682,1.38993,0.000536119,0.000536119,0.000536119
20,2776.07,2.11465,1.85533,1.37807,0.41505,0.2174,0.14261,0.05321,2.2229,1.99331,1.40408,0.000519625,0.000519625,0.000519625
21,2926.17,2.11299,1.83178,1.37778,0.43918,0.20623,0.14423,0.05711,2.2092,1.98107,1.38794,0.000503132,0.000503132,0.000503132
